step,avg_time
253,0.660709864
254,0.65999876
255,0.6592942896
256,0.6586631947
257,0.657962382
258,0.6572752442
259,0.6565936688
260,0.655983231
261,0.6553068764
262,0.654640512
263,0.6539803734
264,0.6533929009
265,0.652736683
266,0.6520903949
267,0.6514497957
268,0.6508795625
269,0.6502409021
270,0.6496153895
271,0.6489931777
272,0.6484400856
273,0.6478211233
274,0.6472111944
275,0.6466076645
276,0.6460719253
277,0.6454716646
278,0.6448850689
279,0.6442999979
280,0.6437805989
281,0.6431976771
282,0.6426243271
283,0.6420551749
284,0.6415504673
285,0.6409826397
286,0.6404247635
287,0.6398713731
288,0.6393875612
289,0.6388390184
290,0.6382985257
291,0.6377620028
292,0.6372867239
293,0.6367510422
294,0.6362240253
295,0.6357009709
296,0.6362665824
297,0.6372331788
298,0.6381951951
299,0.6391500396
300,0.6498995277
301,0.6497977143
302,0.649242712
303,0.6486912501
304,0.6482023769
305,0.6476541983
306,0.6471134212
307,0.6465772109
308,0.6461024115
309,0.6455725507
310,0.6450487104
311,0.6445292822
312,0.6440676421
313,0.6435509662
314,0.6430408291
315,0.6425343601
316,0.6420864118
317,0.6415829633
318,0.6410855783
319,0.6405909903
320,0.6401542771
321,0.6396632979
322,0.6391784601
323,0.6386965433
324,0.6382716492
325,0.6377916186
326,0.6373178626
327,0.6368487653
328,0.6364343066
329,0.6359686209
330,0.6355074867
331,0.6350499828
332,0.6346464675
333,0.6341895155
334,0.6337410982
335,0.6332947084
336,0.6329016042
337,0.6324561174
338,0.6320162789
339,0.6315787438
340,0.6311951226
341,0.6307595043
342,0.6303303944
343,0.6299036829
344,0.6295291576
345,0.629104578
346,0.6286850095
347,0.6282675019
348,0.6279017676
349,0.6274851232
350,0.6270755758
351,0.6266668766
352,0.6263108773
353,0.6259043138
354,0.6255040422
355,0.6251052463
356,0.6247589986
357,0.624360518
358,0.6239675852
359,0.62357709
