0.0619873037,0.0547225326,0.0541323604,0.0430784540,0.0508493800,0.0515200744,0.0738282727,0.0821150523,0.0838313312,0.0628965031,0.0584062531,0.0537073775,0.0274953126,0.0278962617,0.0278623952,0.0224468268,0.0224849053,0.0225159345,0.0063897006,0.0063444202,0.0063885794,0.0053705875,0.0053718599,0.0054433145,0.0064450741,0.0063447126,0.0063081056,0.0053218847,0.0053822524,0.0053578983,0.0053523614,0.0053641328,0.0052601694,0.0047246864,0.0047074852,0.0047443010,0.0053650585,0.0053155969,0.0053104276,0.0047903963,0.0047480528,0.0047325502,0.0053230633,0.0052823386,0.0053177552,0.0046840589,0.0047418078,0.0047462685
7,0,6,4,1,4,3,5,2,1,6,7,2,0,5,3,3,0,2,5,5,3,0,1,4,2,5,2,1,1,2,6,2,3,0,5,7,3,5,6,4,7,5,4,4,2,1,0
0.0608379414,0.0542604670,0.0546797994,0.0432344779,0.0494535077,0.0510224642,0.0752187047,0.0826558428,0.0821144917,0.0627646387,0.0595662773,0.0539315771,0.0273262607,0.0278250026,0.0302645525,0.0226184455,0.0224809758,0.0224619581,0.0063863799,0.0063322078,0.0063758713,0.0053516809,0.0053466261,0.0054503323,0.0064466912,0.0063330914,0.0062949766,0.0053145045,0.0053747021,0.0053299113,0.0053659027,0.0053667791,0.0052540934,0.0047164990,0.0046843995,0.0047285502,0.0053616764,0.0053146514,0.0052907463,0.0047831775,0.0047574004,0.0047191831,0.0053105787,0.0052929331,0.0053318032,0.0046801814,0.0047157432,0.0047246939
7,0,6,4,1,4,3,5,2,1,6,7,2,0,5,3,3,0,2,5,5,3,0,1,4,2,5,2,1,1,2,6,2,3,0,5,7,3,5,6,4,7,5,4,4,2,1,0
0.0595372992,0.0544081587,0.0549319113,0.0430025737,0.0488820968,0.0504710348,0.0762739573,0.0815336731,0.0794267696,0.0627688283,0.0600901678,0.0545486056,0.0277948221,0.0286731989,0.0340945913,0.0240625290,0.0226560528,0.0223158489,0.0064417535,0.0064703350,0.0064161430,0.0053636395,0.0054199101,0.0054466094,0.0063409177,0.0064034653,0.0063261060,0.0054000022,0.0053599359,0.0053082920,0.0053375640,0.0054010740,0.0053644625,0.0046966889,0.0047674501,0.0047576274,0.0053673826,0.0053203040,0.0053500250,0.0047262312,0.0047491115,0.0046996683,0.0052837289,0.0053193085,0.0052853559,0.0047285601,0.0047282040,0.0047724034
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0579964231,0.0541090607,0.0551540523,0.0426562777,0.0477210770,0.0494385199,0.0783213694,0.0809196143,0.0784066073,0.0617934699,0.0604886505,0.0551030034,0.0279487908,0.0304525489,0.0357372723,0.0256504396,0.0226384418,0.0223653437,0.0064237266,0.0064923040,0.0064107466,0.0053691935,0.0054118516,0.0054399565,0.0063333179,0.0064144514,0.0063114627,0.0054313051,0.0053556486,0.0053032399,0.0053576684,0.0054092757,0.0053625567,0.0046949054,0.0047446353,0.0047957796,0.0053975852,0.0053152054,0.0053483280,0.0047327043,0.0047315040,0.0047222384,0.0053021239,0.0053291734,0.0052705940,0.0047302185,0.0047199588,0.0047672128
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0568565013,0.0543239541,0.0554358481,0.0432031492,0.0470129988,0.0487097068,0.0793882677,0.0796033172,0.0796207531,0.0616940861,0.0606028644,0.0559413859,0.0278608087,0.0327066656,0.0360816340,0.0267123628,0.0228015907,0.0223065298,0.0064278428,0.0064713261,0.0064012106,0.0053681830,0.0054046788,0.0054701595,0.0063332270,0.0064076752,0.0063219669,0.0053987136,0.0053606725,0.0053086250,0.0053329201,0.0053947648,0.0053617751,0.0046874150,0.0047650114,0.0047512358,0.0053705613,0.0053115639,0.0053422452,0.0047213176,0.0047493333,0.0046880169,0.0052913770,0.0053202148,0.0052697458,0.0047261722,0.0047217356,0.0047655403
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0559770485,0.0538894664,0.0559911126,0.0432011355,0.0467529534,0.0473919902,0.0799085133,0.0780610598,0.0811911354,0.0625371765,0.0610404600,0.0565984109,0.0280492734,0.0340132434,0.0357645158,0.0272371666,0.0233932893,0.0222353698,0.0064272499,0.0064878227,0.0064178697,0.0053706365,0.0054471640,0.0054671228,0.0063484221,0.0064301008,0.0063213169,0.0054187090,0.0053564689,0.0053278311,0.0053339764,0.0054001202,0.0053735891,0.0046977521,0.0047597879,0.0047644645,0.0053794689,0.0052998794,0.0053598368,0.0047347096,0.0047196880,0.0047049641,0.0052810844,0.0053337187,0.0052905517,0.0047286315,0.0047251961,0.0047602595
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0553806333,0.0545597625,0.0564592935,0.0434068526,0.0460071854,0.0468356581,0.0808976461,0.0806455146,0.0831835240,0.0643270413,0.0606876156,0.0571509345,0.0282599023,0.0350493946,0.0349021825,0.0276009240,0.0240990479,0.0224398245,0.0064229910,0.0064814258,0.0064062347,0.0053541229,0.0054141166,0.0054432139,0.0063432749,0.0063982802,0.0063199606,0.0054003794,0.0053544466,0.0053140578,0.0053353544,0.0053947573,0.0053589949,0.0046849016,0.0047387615,0.0047556782,0.0053817137,0.0053035260,0.0053423989,0.0047299113,0.0047478809,0.0046998947,0.0052849026,0.0053244765,0.0052752972,0.0047369470,0.0047171820,0.0047684379
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0548285195,0.0547981990,0.0564660558,0.0435331797,0.0456629844,0.0457929313,0.0806410796,0.0826232959,0.0849344984,0.0670413045,0.0624497849,0.0574920229,0.0285337641,0.0358992577,0.0336015888,0.0276460370,0.0247112500,0.0224839537,0.0064172282,0.0064784275,0.0064101480,0.0053539861,0.0054161706,0.0054485171,0.0063382400,0.0064062198,0.0063170427,0.0054001762,0.0053473792,0.0053125512,0.0053415969,0.0053943630,0.0053718493,0.0046887993,0.0047603309,0.0047544395,0.0053724609,0.0053021884,0.0053607855,0.0047230322,0.0047319827,0.0047060137,0.0052855863,0.0053245166,0.0052802943,0.0047131893,0.0047139168,0.0047620827
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
0.0546412228,0.0551843920,0.0565577418,0.0441810599,0.0453590079,0.0453706428,0.0807139637,0.0857037943,0.0859914544,0.0673823296,0.0638641816,0.0579713559,0.0289275350,0.0363770305,0.0320458691,0.0273524220,0.0254827938,0.0226589918,0.0064430534,0.0064820043,0.0064182900,0.0053585308,0.0054282063,0.0054441918,0.0063428864,0.0064158851,0.0063247658,0.0054052106,0.0053659199,0.0053199453,0.0053307087,0.0054025868,0.0053643393,0.0046907124,0.0047397586,0.0047480240,0.0053788105,0.0053110825,0.0053612502,0.0047422194,0.0047366801,0.0047070116,0.0052918367,0.0053395480,0.0052855796,0.0047390946,0.0047273496,0.0047609507
1,6,7,1,4,7,5,0,2,3,4,6,2,5,3,0,3,5,0,4,7,3,2,1,1,6,2,6,0,0,6,7,1,3,1,6,4,7,2,0,7,4,4,3,1,0,2,5
